,ROW_ID,ORDER_ID,ORDER_DATE,PRIORITY,QUANTITY,SALES,DISCOUNT,MODE,PROFIT,UNIT_PRICE,SHIPPING_COSTS,CUSTOMER_ID,PROVINCE,REGION,SEGMENT,CATEGORY,SUB_CATEGORY,PRODUCT_NAME,PRODUCT_CONTAINER,SHIP_DATE,MANAGER,CUSTOMER_NAME,CUSTOMER_TYPE,ORDER_STATUS
10,7420,52929,4/8/2011,High,19,53.94,0.05,Regular Air,-6.53,2.78,1.25,1,Northwest Territories,The Northern Territories,Small Business,Office Supplies,Pens & Art Supplies,Newell 318,Wrap Bag,4/9/2011,,Muhammed MacIntyre,Type - E,
11,7419,52929,4/8/2011,High,43,701.46,0.04,Express Air,-90.14,15.99,9.4,1,Northwest Territories,The Northern Territories,Small Business,Technology,Office Machines,"AT&T Black Trimline Phone, Model 210",Small Box,4/9/2011,,Muhammed MacIntyre,Type - E,
12,8133,58144,12/16/2009,Low,29,778.38,0.01,Regular Air,257.32,26.38,5.86,1,Prince Edward Island,The Atlantic Provinces,Small Business,Office Supplies,Paper,Xerox 1935,Small Box,12/23/2009,Erin,Muhammed MacIntyre,Type - E,
13,17,97,1/28/2010,Medium,26,75.57,0.03,Regular Air,28.24,2.89,0.5,341,Yukon,The Northern Territories,Consumer,Office Supplies,Labels,Avery 498,Small Box,1/29/2010,,Craig Yedwab,Type - B,
14,4802,34151,9/9/2011,Not Specified,26,4097.1445,0.1,Regular Air,501.54,205.99,8.99,341,Yukon,The Northern Territories,Corporate,Technology,Telephones and Communication,TimeportP7382,Small Box,9/10/2011,,Craig Yedwab,Type - B,
15,3174,22820,8/17/2010,High,34,209.12,0.05,Regular Air,-116.21,5.98,4.38,341,Ontario,Central Canada,Consumer,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Box,8/19/2010,Doug,Craig Yedwab,Type - B,Returned
16,3175,22820,8/17/2010,High,18,144.84,0.0,Regular Air,21.49,7.89,2.82,341,Nova Scotia,The Atlantic Provinces,Consumer,Office Supplies,Rubber Bands,"Staples Vinyl Coated Paper Clips, 800/Box",Wrap Bag,8/20/2010,Erin,Craig Yedwab,Type - B,Returned
17,4070,28992,9/19/2011,Critical,41,6863.95,0.1,Express Air,1662.92,178.47,19.99,341,Quebec,Central Canada,Consumer,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,9/20/2011,Doug,Craig Yedwab,Type - B,
18,57,325,10/16/2010,Low,9,884.1275,0.06,Regular Air,-178.71,115.99,4.23,341,Nova Scotia,The Atlantic Provinces,Corporate,Technology,Telephones and Communication,282,Small Box,10/20/2010,Erin,Craig Yedwab,Type - B,
19,1485,10688,5/12/2012,Medium,14,618.84,0.05,Regular Air,-200.84,41.47,-50.23,341,Newfoundland,The Atlantic Provinces,Corporate,Furniture,Office Furnishings,Eldon Econocleat® Chair Mats for Low Pile Carpets,Wrap Bag,5/13/2012,Erin,Craig Yedwab,Type - B,
20,3423,24422,12/29/2011,Critical,20,3467.28,0.06,Delivery Truck,-433.29,179.29,29.21,341,Nova Scotia,The Atlantic Provinces,Corporate,Furniture,Tables,"Bevis Round Conference Table Top, X-Base",Jumbo Box,12/31/2011,Erin,Craig Yedwab,Type - B,
21,30,195,12/27/2010,Medium,34,1315.74,0.03,Regular Air,260.87,36.55,13.89,362,Yukon,The Northern Territories,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,12/29/2010,,Brad Thomas,Type - S,
22,74,448,8/20/2011,Medium,22,1162.4005,0.09,Regular Air,-284.63,65.99,19.99,362,Yukon,The Northern Territories,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,8/22/2011,,Brad Thomas,Type - S,
23,537,3649,7/5/2009,Low,26,75.6,0.06,Regular Air,17.14,2.88,0.99,362,Yukon,The Northern Territories,Home Office,Office Supplies,Labels,Avery 514,Small Box,7/14/2009,,Brad Thomas,Type - S,
24,536,3649,7/5/2009,Low,8,79.42,0.01,Regular Air,-15.46,8.88,6.28,362,Yukon,The Northern Territories,Home Office,Office Supplies,Binders and Binder Accessories,GBC Instant Index System for Binding Systems,Small Box,7/10/2009,,Brad Thomas,Type - S,
25,1612,11682,7/4/2010,Low,5,102.18,0.09,Regular Air,-65.67,19.98,4.0,362,Yukon,The Northern Territories,Home Office,Technology,Computer Peripherals,Belkin 105-Key Black Keyboard,Small Box,7/11/2010,,Brad Thomas,Type - S,Returned
26,2421,17568,10/8/2010,Not Specified,31,512.87,0.0,Regular Air,170.69,16.48,1.99,362,Yukon,The Northern Territories,Home Office,Technology,Computer Peripherals,Maxell DVD-RAM Discs,Small Box,10/9/2010,,Brad Thomas,Type - S,
27,2440,17701,5/21/2012,Critical,21,80.45,0.09,Regular Air,-60.96,3.74,4.69,362,Yukon,The Northern Territories,Home Office,Office Supplies,Binders and Binder Accessories,Accohide Poly Flexible Ring Binders,Small Box,5/22/2012,,Brad Thomas,Type - S,
28,2851,20519,4/10/2009,High,7,124.19,0.03,Regular Air,-53.3,15.99,11.28,362,Yukon,The Northern Territories,Home Office,Technology,Office Machines,"210 Trimline Phone, White",Medium Box,4/11/2009,,Brad Thomas,Type - S,
29,3118,22402,5/27/2009,Critical,1,51.833,0.01,Regular Air,-235.9,55.99,5.0,362,Yukon,The Northern Territories,Home Office,Technology,Telephones and Communication,Accessory36,Small Box,5/28/2009,,Brad Thomas,Type - S,Returned
30,3117,22402,5/27/2009,Critical,33,1194.34,0.04,Regular Air,497.11,37.7,2.99,362,Yukon,The Northern Territories,Home Office,Office Supplies,Binders and Binder Accessories,Vinyl Sectional Post Binders,Small Box,5/28/2009,,Brad Thomas,Type - S,Returned
31,3883,27745,9/20/2010,Low,41,6126.93,0.01,Delivery Truck,-1704.89,146.05,80.2,362,Yukon,The Northern Territories,Home Office,Furniture,Tables,BPI Conference Tables,Jumbo Box,9/24/2010,,Brad Thomas,Type - S,
32,4020,28737,10/3/2011,Critical,17,1721.641,0.04,Regular Air,242.44,115.99,4.23,362,Yukon,The Northern Territories,Home Office,Technology,Telephones and Communication,282,Small Box,10/5/2011,,Brad Thomas,Type - S,
33,4019,28737,10/3/2011,Critical,50,413.37,0.04,Regular Air,-224.41,8.45,7.77,362,Yukon,The Northern Territories,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Elite 5"" Scissors",Small Box,10/5/2011,,Brad Thomas,Type - S,
34,4159,29505,12/27/2012,Medium,22,45.21,0.02,Express Air,4.61,1.76,0.7,362,Yukon,The Northern Territories,Home Office,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,12/28/2012,,Brad Thomas,Type - S,Returned
35,4318,30759,5/8/2009,Not Specified,2,64.79,0.03,Regular Air,-41.32,29.34,7.87,362,Yukon,The Northern Territories,Corporate,Furniture,Office Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",Small Box,5/10/2009,,Brad Thomas,Type - S,
36,4336,30887,7/7/2010,Critical,44,4357.117,0.07,Regular Air,1192.98,115.99,5.92,362,Yukon,The Northern Territories,Home Office,Technology,Telephones and Communication,8890,Small Box,7/7/2010,,Brad Thomas,Type - S,
37,4385,31233,9/24/2011,Low,19,4245.93,0.0,Regular Air,-626.45,209.37,69.0,362,Yukon,The Northern Territories,Home Office,Furniture,Tables,Hon 2111 Invitation Series Corner Table,Large Box,10/3/2011,,Brad Thomas,Type - S,
38,4384,31233,9/24/2011,Low,35,590.32,0.06,Regular Air,-91.31,16.99,8.99,362,Yukon,The Northern Territories,Home Office,Office Supplies,Pens & Art Supplies,Berol Giant Pencil Sharpener,Small Box,9/28/2011,,Brad Thomas,Type - S,
39,4383,31233,9/24/2011,Low,3,19.34,0.06,Regular Air,-11.36,4.98,5.02,362,Yukon,The Northern Territories,Home Office,Office Supplies,Paper,Xerox 1989,Small Box,9/26/2011,,Brad Thomas,Type - S,
40,4382,31233,9/24/2011,Low,41,1298.29,0.06,Regular Air,542.33,31.78,1.99,362,Yukon,The Northern Territories,Home Office,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Box,9/28/2011,,Brad Thomas,Type - S,
41,4861,34597,12/16/2010,Medium,8,849.337,0.07,Express Air,-258.85,125.99,2.5,362,British Columbia,The West Coast,Home Office,Technology,Telephones and Communication,V2397,Small Box,12/18/2010,William,Brad Thomas,Type - S,
42,6720,47872,6/12/2009,Critical,50,345.58,0.05,Regular Air,-38.04,6.64,4.95,362,British Columbia,The West Coast,Home Office,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Box,6/13/2009,William,Brad Thomas,Type - S,
43,6719,47872,6/12/2009,Critical,38,1756.27,0.09,Regular Air,649.05,46.89,5.1,362,British Columbia,The West Coast,Home Office,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,Medium Box,6/14/2009,William,Brad Thomas,Type - S,
44,6730,47910,8/15/2009,High,30,5290.57,0.08,Regular Air,1389.18,178.47,19.99,362,British Columbia,The West Coast,Home Office,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,8/16/2009,William,Brad Thomas,Type - S,Returned
45,7721,55330,8/12/2009,Medium,49,633.91,0.0,Regular Air,141.17,12.58,5.16,362,British Columbia,The West Coast,Corporate,Furniture,Office Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",Small Box,8/12/2009,William,Brad Thomas,Type - S,Returned
46,8397,59971,5/31/2011,Critical,12,356.27,0.1,Express Air,84.53,30.98,5.09,362,British Columbia,The West Coast,Home Office,Office Supplies,Paper,Xerox 19,Small Box,6/2/2011,William,Brad Thomas,Type - S,
47,8396,59971,5/31/2011,Critical,45,514.86,0.08,Regular Air,-10.84,12.28,6.47,362,British Columbia,The West Coast,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,6/2/2011,William,Brad Thomas,Type - S,
48,8395,59971,5/31/2011,Critical,26,437.77,0.01,Express Air,-125.8,15.98,8.99,362,British Columbia,The West Coast,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Small Box,6/2/2011,William,Brad Thomas,Type - S,
49,4874,34689,11/23/2009,Low,36,572.4,0.07,Regular Air,-39.5,16.91,6.25,362,Quebec,Central Canada,Home Office,Office Supplies,Storage & Organization,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Small Box,11/30/2009,Doug,Brad Thomas,Type - S,Returned
50,4950,35201,6/4/2010,Low,18,211.44,0.03,Regular Air,-75.81,10.97,6.5,362,Quebec,Central Canada,Home Office,Technology,Computer Peripherals,Micro Innovations 104 Keyboard,Small Box,6/11/2010,Doug,Brad Thomas,Type - S,
51,5240,37287,11/1/2012,Low,22,2052.2655,0.04,Regular Air,371.4,110.99,2.5,362,Quebec,Central Canada,Corporate,Technology,Telephones and Communication,T18,Small Box,11/5/2012,Doug,Brad Thomas,Type - S,
52,5239,37287,11/1/2012,Low,18,122.41,0.09,Regular Air,2.37,6.64,4.95,362,Nova Scotia,The Atlantic Provinces,Corporate,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Box,11/5/2012,Erin,Brad Thomas,Type - S,
53,5241,37287,11/1/2012,Low,45,130.25,0.05,Regular Air,0.89,2.98,1.58,362,Newfoundland,The Atlantic Provinces,Corporate,Office Supplies,Rubber Bands,Staples Gold Paper Clips,Wrap Bag,11/6/2012,Erin,Brad Thomas,Type - S,
54,5134,36609,5/14/2009,Not Specified,8,45.73,0.0,Regular Air,-23.29,4.98,5.49,362,Nova Scotia,The Atlantic Provinces,Home Office,Office Supplies,Paper,Xerox 1952,Small Box,5/16/2009,Erin,Brad Thomas,Type - S,Returned
55,5467,38851,6/10/2012,Critical,1,8.49,0.06,Regular Air,-5.74,3.74,4.69,362,Nova Scotia,The Atlantic Provinces,Corporate,Office Supplies,Binders and Binder Accessories,Accohide Poly Flexible Ring Binders,Small Box,6/11/2012,Erin,Brad Thomas,Type - S,
56,34,224,6/17/2009,Not Specified,33,528.5,0.04,Regular Air,-149.92,15.42,10.68,456,Yukon,The Northern Territories,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,6/18/2009,,Bart Folk,Type - K,
57,33,224,6/17/2009,Not Specified,44,267.85,0.04,Regular Air,-65.43,5.98,5.15,456,Yukon,The Northern Territories,Corporate,Office Supplies,Paper,Xerox 193,Small Box,6/18/2009,,Bart Folk,Type - K,
58,32,224,6/17/2009,Not Specified,25,184.86,0.09,Regular Air,-33.95,7.38,5.21,456,Yukon,The Northern Territories,Corporate,Furniture,Office Furnishings,"Eldon® Expressions Wood Desk Accessories, Oak",Small Box,6/18/2009,,Bart Folk,Type - K,
59,5045,35938,11/17/2012,Not Specified,48,628.33,0.09,Regular Air,-226.62,14.03,9.37,456,British Columbia,The West Coast,Corporate,Office Supplies,Storage & Organization,Project Tote Personal File,Small Box,11/18/2012,William,Bart Folk,Type - K,
60,5044,35938,11/17/2012,Not Specified,6,1770.7,0.05,Delivery Truck,-448.25,280.98,57.0,456,British Columbia,The West Coast,Corporate,Furniture,Chairs & Chairmats,Hon 2090 Pillow Soft Series Mid Back Swivel/Tilt Chairs,Jumbo Drum,11/19/2012,William,Bart Folk,Type - K,
61,5334,37893,11/24/2011,Not Specified,14,436.78,0.04,Regular Air,25.69,29.99,5.5,456,Quebec,Central Canada,Corporate,Technology,Computer Peripherals,Logitech Cordless Access Keyboard,Small Box,11/25/2011,Doug,Bart Folk,Type - K,
62,6150,43553,5/14/2009,Not Specified,29,143.29,0.05,Regular Air,-55.54,4.98,4.72,456,Quebec,Central Canada,Corporate,Office Supplies,Paper,Xerox 1949,Small Box,5/15/2009,Doug,Bart Folk,Type - K,
63,46,263,5/16/2009,High,25,136.77,0.09,Regular Air,-136.25,5.4,7.78,383,Yukon,The Northern Territories,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,5/17/2009,,Paul Lucas,Type - S,
64,453,3078,2/11/2010,High,12,33.86,0.05,Regular Air,0.35,2.88,0.7,383,Yukon,The Northern Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 340,Wrap Bag,2/12/2010,,Paul Lucas,Type - S,
65,454,3078,2/11/2010,High,1,316.61,0.1,Delivery Truck,-187.29,291.73,48.8,383,Nova Scotia,The Atlantic Provinces,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Jumbo Drum,2/13/2010,Erin,Paul Lucas,Type - S,
66,709,4965,10/20/2010,Low,46,287.13,0.0,Regular Air,-186.31,5.78,7.96,383,Ontario,Central Canada,Corporate,Office Supplies,Paper,Xerox 196,Small Box,10/25/2010,Doug,Paul Lucas,Type - S,
67,708,4965,10/20/2010,Low,14,1068.79,0.07,Regular Air,56.05,76.72,19.95,383,Nova Scotia,The Atlantic Provinces,Corporate,Office Supplies,Appliances,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Large Box,10/20/2010,Erin,Paul Lucas,Type - S,
68,1971,14112,7/24/2009,Low,1,68.45,0.02,Express Air,-25.76,50.98,13.66,383,Quebec,Central Canada,Corporate,Office Supplies,Appliances,Eureka The Boss® Cordless Rechargeable Stick Vac,Small Box,7/24/2009,Doug,Paul Lucas,Type - S,
69,50,293,10/1/2012,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,2,Nunavut,The Northern Territories,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,10/3/2012,,Barry French,Type - H,
70,49,293,10/1/2012,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,2,Nunavut,The Northern Territories,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,10/2/2012,,Barry French,Type - H,
71,3805,27109,2/8/2012,Critical,48,538.22,0.01,Regular Air,-154.66,10.97,6.5,2,Northwest Territories,The Northern Territories,Consumer,Technology,Computer Peripherals,Micro Innovations 104 Keyboard,Small Box,2/10/2012,,Barry French,Type - H,
72,5746,40804,3/12/2010,Medium,36,4273.8,0.06,Delivery Truck,-1775.83,122.99,70.2,2,Northwest Territories,The Northern Territories,Consumer,Furniture,Chairs & Chairmats,"Global High-Back Leather Tilter, Burgundy",Jumbo Drum,3/14/2010,,Barry French,Type - H,
73,55,323,3/25/2009,Critical,2,55.34,0.06,Regular Air,-31.24,22.84,11.54,698,Yukon,The Northern Territories,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,3/27/2009,,Dario Medina,Type - A,
74,54,323,3/25/2009,Critical,20,108.09,0.07,Regular Air,25.76,5.68,1.39,698,Yukon,The Northern Territories,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,3/27/2009,,Dario Medina,Type - A,
75,5785,41056,3/26/2012,Critical,4,137.54,0.08,Regular Air,-138.84,34.98,7.53,698,Yukon,The Northern Territories,Small Business,Technology,Computer Peripherals,Fellowes EZ Multi-Media Keyboard,Small Box,3/29/2012,,Dario Medina,Type - A,
76,6453,45958,5/25/2011,Medium,16,115.34,0.02,Regular Air,13.83,6.69,3.1,698,Yukon,The Northern Territories,Small Business,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Wrap Bag,5/27/2011,,Dario Medina,Type - A,
77,6452,45958,5/25/2011,Medium,28,17599.39,0.03,Regular Air,5513.86,599.99,24.49,698,Yukon,The Northern Territories,Small Business,Technology,Copiers and Fax,Canon PC1080F Personal Copier,Large Box,5/26/2011,,Dario Medina,Type - A,
78,6690,47591,1/2/2012,Critical,27,279.4,0.1,Regular Air,-92.25,10.48,6.91,698,Yukon,The Northern Territories,Small Business,Office Supplies,Storage & Organization,Sterilite Officeware Hinged File Box,Small Box,1/3/2012,,Dario Medina,Type - A,
79,7031,50183,5/24/2010,High,20,116.55,0.09,Express Air,-39.67,5.58,5.3,698,Yukon,The Northern Territories,Small Business,Office Supplies,Envelopes,Staples Brown Kraft Recycled Clasp Envelopes,Small Box,5/25/2010,,Dario Medina,Type - A,
80,7758,55520,5/7/2011,Critical,43,525.77,0.08,Express Air,34.63,11.99,5.99,698,Yukon,The Northern Territories,Small Business,Technology,Office Machines,TI 30X Scientific Calculator,Medium Box,5/8/2011,,Dario Medina,Type - A,
81,60,353,12/30/2010,Low,21,46.94,0.02,Regular Air,3.88,2.21,1.0,364,Yukon,The Northern Territories,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,4/1/2011,,Dean Percer,Type - R,
82,1616,11687,12/25/2011,High,26,188.93,0.04,Regular Air,58.32,7.28,1.77,364,Quebec,Central Canada,Home Office,Office Supplies,Paper,"Post-it® Important Message Note Pad, Neon Colors, 50 Sheets/Pad",Wrap Bag,12/25/2011,Doug,Dean Percer,Type - R,
83,5399,38372,5/15/2010,High,46,1053.84,0.0,Regular Air,-632.16,20.98,21.2,364,Quebec,Central Canada,Consumer,Furniture,Office Furnishings,36X48 HARDFLOOR CHAIRMAT,Medium Box,5/15/2010,Doug,Dean Percer,Type - R,
84,5400,38372,5/15/2010,High,33,310.99,0.07,Regular Air,106.45,9.68,2.03,364,Newfoundland,The Atlantic Provinces,Consumer,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",Wrap Bag,5/16/2010,Erin,Dean Percer,Type - R,
85,1665,12005,6/24/2012,Not Specified,4,1660.86,0.04,Regular Air,-164.59,415.88,11.37,364,Nova Scotia,The Atlantic Provinces,Home Office,Office Supplies,Storage & Organization,Deluxe Rollaway Locking File with Drawer,Small Box,6/26/2012,Erin,Dean Percer,Type - R,Returned
86,4959,35271,7/26/2010,High,19,1083.4015,0.02,Regular Air,64.53,65.99,8.99,364,Nova Scotia,The Atlantic Provinces,Home Office,Technology,Telephones and Communication,5180,Small Box,7/27/2010,Erin,Dean Percer,Type - R,
87,6729,47909,3/9/2010,Medium,48,843.03,0.08,Regular Air,419.9,20.99,0.99,364,New Brunswick,The Atlantic Provinces,Home Office,Technology,Telephones and Communication,Accessory21,Wrap Bag,3/11/2010,Erin,Dean Percer,Type - R,
88,6728,47909,3/9/2010,Medium,22,220.26,0.07,Regular Air,-35.95,10.23,4.68,364,New Brunswick,The Atlantic Provinces,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Box Cutter Scissors,Small Box,3/10/2010,Erin,Dean Percer,Type - R,
89,6727,47909,3/9/2010,Medium,38,185.19,0.07,Regular Air,-175.62,4.98,7.44,364,New Brunswick,The Atlantic Provinces,Home Office,Office Supplies,Paper,Xerox 1922,Small Box,3/9/2010,Erin,Dean Percer,Type - R,
90,7094,50626,10/20/2009,Medium,42,26126.92,0.04,Regular Air,9498.6,599.99,24.49,364,New Brunswick,The Atlantic Provinces,Consumer,Technology,Copiers and Fax,Canon PC1080F Personal Copier,Large Box,10/22/2009,Erin,Dean Percer,Type - R,
91,7093,50626,10/20/2009,Medium,18,3267.41,0.0,Delivery Truck,248.19,170.98,35.89,364,New Brunswick,The Atlantic Provinces,Consumer,Furniture,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",Jumbo Box,10/21/2009,Erin,Dean Percer,Type - R,
92,71,417,2/5/2009,Medium,3,540.41,0.1,Regular Air,-170.98,178.47,19.99,406,Yukon,The Northern Territories,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,2/7/2009,,Robert Barroso,Type - O,
93,70,417,2/5/2009,Medium,39,15260.78,0.07,Delivery Truck,8734.88,500.98,28.14,406,Yukon,The Northern Territories,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,2/6/2009,,Robert Barroso,Type - O,
94,931,6753,9/26/2010,Low,7,53.14,0.04,Regular Air,14.57,6.64,4.95,406,Yukon,The Northern Territories,Small Business,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Box,9/28/2010,,Robert Barroso,Type - O,
95,1556,11236,10/30/2010,High,15,44.32,0.01,Regular Air,-41.55,2.52,4.28,406,Yukon,The Northern Territories,Small Business,Office Supplies,Pens & Art Supplies,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Wrap Bag,10/30/2010,,Robert Barroso,Type - O,
96,1555,11236,10/30/2010,High,45,298.57,0.07,Regular Air,74.07,6.88,2.0,406,Yukon,The Northern Territories,Small Business,Office Supplies,Paper,"Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",Wrap Bag,10/30/2010,,Robert Barroso,Type - O,
97,1558,11236,10/30/2010,High,49,261.02,0.01,Regular Air,-94.05,4.98,4.95,406,Quebec,Central Canada,Small Business,Office Supplies,Binders and Binder Accessories,Cardinal Holdit Business Card Pockets,Small Box,10/31/2010,Doug,Robert Barroso,Type - O,
98,1557,11236,10/30/2010,High,4,1629.75,0.03,Regular Air,-195.7,415.88,11.37,406,Quebec,Central Canada,Small Business,Office Supplies,Storage & Organization,Deluxe Rollaway Locking File with Drawer,Small Box,11/1/2010,Doug,Robert Barroso,Type - O,
99,2313,16674,4/29/2011,Low,39,14072.64,0.02,Delivery Truck,2177.54,355.98,58.92,406,Nova Scotia,The Atlantic Provinces,Small Business,Furniture,Chairs & Chairmats,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Jumbo Drum,5/8/2011,Erin,Robert Barroso,Type - O,
100,2312,16674,4/29/2011,Low,49,1959.43,0.09,Regular Air,467.72,42.98,4.62,406,Nova Scotia,The Atlantic Provinces,Small Business,Office Supplies,Appliances,Belkin F9M820V08 8 Outlet Surge,Small Box,5/6/2011,Erin,Robert Barroso,Type - O,
101,6930,49472,7/16/2010,Low,23,103.2,0.02,Regular Air,17.89,4.28,0.94,406,Nova Scotia,The Atlantic Provinces,Small Business,Office Supplies,Pens & Art Supplies,Newell 336,Wrap Bag,7/21/2010,Erin,Robert Barroso,Type - O,
102,6932,49472,7/16/2010,Low,9,30.65,0.03,Regular Air,0.08,3.29,1.35,406,Nova Scotia,The Atlantic Provinces,Small Business,Office Supplies,Rubber Bands,Acco® Hot Clips Clips to Go,Wrap Bag,7/20/2010,Erin,Robert Barroso,Type - O,
